[2018-07-10 01:42:24,701][MainThread:140197679556416][task_id:running][log.py:83][INFO][Start logging !!!]
[2018-07-10 01:42:30,088][MainThread:140441873286976][task_id:running][log.py:83][INFO][Start logging !!!]
[2018-07-10 01:42:30,244][MainThread:140441873286976][task_id:asyncio][selector_events.py:65][DEBUG][Using selector: EpollSelector]
[2018-07-10 01:42:30,245][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Spider starting!]
[2018-07-10 01:42:30,246][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Base url: http://blog.sciencenet.cn/]
[2018-07-10 01:42:30,730][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Followed(1/5): http://blog.sciencenet.cn/home.php?mod=space&uid=40109&do=blog&view=me&from=space&page=2]
[2018-07-10 01:42:30,944][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(1/20): http://blog.sciencenet.cn/blog-40109-955919.html]
[2018-07-10 01:42:31,122][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Followed(2/5): http://blog.sciencenet.cn/home.php?mod=space&uid=40109&do=blog&view=me&from=space&page=3]
[2018-07-10 01:42:31,334][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(2/30): http://blog.sciencenet.cn/blog-40109-899191.html]
[2018-07-10 01:42:32,109][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Followed(3/5): http://blog.sciencenet.cn/home.php?mod=space&uid=40109&do=blog&view=me&from=space&page=4]
[2018-07-10 01:42:32,428][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(3/40): http://blog.sciencenet.cn/blog-40109-899173.html]
[2018-07-10 01:42:32,588][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Followed(4/5): http://blog.sciencenet.cn/home.php?mod=space&uid=40109&do=blog&view=me&from=space&page=5]
[2018-07-10 01:42:32,821][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(4/50): http://blog.sciencenet.cn/blog-40109-816626.html]
[2018-07-10 01:42:33,654][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(5/50): http://blog.sciencenet.cn/blog-40109-810107.html]
[2018-07-10 01:42:33,868][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(6/50): http://blog.sciencenet.cn/blog-40109-810105.html]
[2018-07-10 01:42:34,165][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(7/50): http://blog.sciencenet.cn/blog-40109-741936.html]
[2018-07-10 01:42:34,876][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(8/50): http://blog.sciencenet.cn/blog-40109-700138.html]
[2018-07-10 01:42:35,093][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(9/50): http://blog.sciencenet.cn/blog-40109-656815.html]
[2018-07-10 01:42:35,303][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(10/50): http://blog.sciencenet.cn/blog-40109-629053.html]
[2018-07-10 01:42:35,495][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Followed(5/5): http://blog.sciencenet.cn/home.php?mod=space&uid=40109&do=blog&view=me&from=space&page=1]
[2018-07-10 01:42:35,756][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(11/50): http://blog.sciencenet.cn/blog-40109-614878.html]
[2018-07-10 01:42:35,981][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(12/50): http://blog.sciencenet.cn/blog-40109-523547.html]
[2018-07-10 01:42:36,329][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(13/50): http://blog.sciencenet.cn/blog-40109-523530.html]
[2018-07-10 01:42:36,527][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(14/50): http://blog.sciencenet.cn/blog-40109-523518.html]
[2018-07-10 01:42:36,707][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(15/50): http://blog.sciencenet.cn/blog-40109-516038.html]
[2018-07-10 01:42:36,903][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(16/50): http://blog.sciencenet.cn/blog-40109-502535.html]
[2018-07-10 01:42:37,097][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(17/50): http://blog.sciencenet.cn/blog-40109-500648.html]
[2018-07-10 01:42:37,294][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(18/50): http://blog.sciencenet.cn/blog-40109-492230.html]
[2018-07-10 01:42:37,543][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(19/50): http://blog.sciencenet.cn/blog-40109-478928.html]
[2018-07-10 01:42:37,770][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(20/50): http://blog.sciencenet.cn/blog-40109-478176.html]
[2018-07-10 01:42:37,969][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(21/50): http://blog.sciencenet.cn/blog-40109-461614.html]
[2018-07-10 01:42:38,200][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(22/50): http://blog.sciencenet.cn/blog-40109-458358.html]
[2018-07-10 01:42:38,378][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(23/50): http://blog.sciencenet.cn/blog-40109-450088.html]
[2018-07-10 01:42:38,580][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(24/50): http://blog.sciencenet.cn/blog-40109-441532.html]
[2018-07-10 01:42:38,779][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(25/50): http://blog.sciencenet.cn/blog-40109-423575.html]
[2018-07-10 01:42:38,990][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(26/50): http://blog.sciencenet.cn/blog-40109-420617.html]
[2018-07-10 01:42:39,792][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(27/50): http://blog.sciencenet.cn/blog-40109-410259.html]
[2018-07-10 01:42:39,996][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(28/50): http://blog.sciencenet.cn/blog-40109-410254.html]
[2018-07-10 01:42:40,503][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(29/50): http://blog.sciencenet.cn/blog-40109-408211.html]
[2018-07-10 01:42:40,699][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(30/50): http://blog.sciencenet.cn/blog-40109-401847.html]
[2018-07-10 01:42:40,887][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(31/50): http://blog.sciencenet.cn/blog-40109-401459.html]
[2018-07-10 01:42:41,098][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(32/50): http://blog.sciencenet.cn/blog-40109-391403.html]
[2018-07-10 01:42:41,324][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(33/50): http://blog.sciencenet.cn/blog-40109-387836.html]
[2018-07-10 01:42:41,562][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(34/50): http://blog.sciencenet.cn/blog-40109-387833.html]
[2018-07-10 01:42:42,274][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(35/50): http://blog.sciencenet.cn/blog-40109-375580.html]
[2018-07-10 01:42:43,472][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(36/50): http://blog.sciencenet.cn/blog-40109-358089.html]
[2018-07-10 01:42:43,836][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(37/50): http://blog.sciencenet.cn/blog-40109-357683.html]
[2018-07-10 01:42:44,732][MainThread:140441873286976][task_id:running][mixins.py:20][INFO][Parsed(38/50): http://blog.sciencenet.cn/blog-40109-347929.html]
